Nome_Decodifica;Commodity;ID;Valore_TCR
SistemaFatturazione;CROSS;3;NETA BR
StatoLettura;CROSS;FORZATA;S
StatoLettura;CROSS;VALIDATO;S
StatoLettura;CROSS;INV. AUTOMATICA DA RETTIFICA;N
StatoLettura;CROSS;INVALIDA;N
StatoLettura;CROSS;SCARTATA PROOF;N
StatoLettura;CROSS;RIPRIST. SCARTATA PROOF;N
StatoLettura;CROSS;INVALIDA PER NON RETTIFICABILITA;N
StatoLettura;CROSS;RETTIFICA SCARTATA;N
StatoLettura;CROSS;RETTIFICA RIPRISTINABILE ;N
StatoLettura;CROSS;INVALIDA PER TRACCIAMENTO;N
StatoLettura;CROSS;INVALIDAZIONE RETROATTIVA;N
StatoLettura;CROSS;INVALIDATA UTENTE;N
StatoLettura;CROSS;SCARTATA;N
StatoLettura;CROSS;RIPRIST. SCARTATA;N
StatoLettura;CROSS;INVALIDAZIONE DA RICALCOLO;N
StatoLettura;CROSS;VALIDA;S
StatoLettura;CROSS;N;N
StatoLettura;CROSS;S;S
StatoLettura;CROSS;ACQUISITA;N
StatoLettura;CROSS;MANCATA;N
StatoLettura;CROSS;ANNULLATO;N
StatoLettura;CROSS;FATTURATA;S
StatoLettura;CROSS;RETTIFICA VERIFICATA;S
StatoPraticaCRM;CROSS;Suspended;ANNULLATO
StatoPraticaCRM;CROSS;Pending Cancellation;ATTIVO
StatoPraticaCRM;CROSS;Cancelled;CESSATO
StatoPraticaCRM;CROSS;Activated;ATTIVO
StatoPraticaCRM;CROSS;Pending Activation;ATTIVO
StatoPraticaBR;CROSS;ANNULLATO;ANNULLATO
StatoPraticaBR;CROSS;CESSATA FATTURATA;CESSATO
StatoPraticaBR;CROSS;IN CORSO DI CESSAZIONE;ATTIVO
StatoPraticaBR;CROSS;CESSATA DA FATTURARE;CESSATO
StatoPraticaBR;CROSS;CESSATA COMMERCIALMENTE;CESSATO
StatoPraticaBR;CROSS;SOSPESA;ANNULLATO
StatoPraticaBR;CROSS;ATTIVATA;ATTIVO
StatoPraticaBR;CROSS;ATTIVA COMMERCIALMENTE;ATTIVO
StatoPraticaBR;CROSS;DA ATTIVARE;ATTIVO
TipoRegime;CROSS;ULTIMA ISTANZA;Fornitura di ultima istanza
TipoRegime;CROSS;LIBERO SEMINEGOZIATO;Seminegoziato
TipoRegime;CROSS;LIBERO NEGOZIATO;Negoziato
TipoRegime;CROSS;Libero a tariffa standard;Libero standard
TipoRegime;CROSS;LIBERO A TARIFFA REGOLATA;Libero a tariffa regolata
TipoRegime;CROSS;MAGGIOR TUTELA;Tutelato
TipoRegime;CROSS;DEFAULT;Default
TipoRegimeCRM;CROSS;;
TipoRegimeCRM;CROSS;;
TipoRegimeCRM;CROSS;;
TipoRegimeCRM;CROSS;;
TipoRegimeCRM;CROSS;;
TipoRegimeCRM;CROSS;;
TipoRegimeCRM;CROSS;;
VociBusinessFasceRataFissa;CROSS;CONTRIBUTO MENSILE RELAX 1;1- light
VociBusinessFasceRataFissa;CROSS;CONTRIBUTO MENSILE RELAX 2;2- regular
VociBusinessFasceRataFissa;CROSS;CONTRIBUTO MENSILE RELAX 3;3- plus
VociBusinessFasceRataFissa;CROSS;CONTRIBUTO MENSILE RELAX 4;4- extra
VociBusinessFasceRataFissa;CROSS;CONTRIBUTO MENSILE RELAX 5;5- max
BollettaPiatta;CROSS;0;N
BollettaPiatta;CROSS;1;Y
StatoPraticaContrattoCRM;CROSS;;
