codice_contabilita|partita_iva|commodity|fornitore|anno_comp|mese_comp|data_emissione|data_scadenza|flg_presenza_scadenza|provenienza|volume|importo
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|04|2022-02-02 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-11406.905|-874.42265159053
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|05|2022-02-02 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-12215.553|-988.6858747147
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-17 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|620148|39574.986270027
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|09|2022-02-04 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|2494|166.74
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|3497312|124394.06
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2018|10|2022-02-17 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|379.848|28.495
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-25 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|98545|38416.65
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-16 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1263633|53448.27
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|03|2022-02-02 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-7699.43|-579.96955334784
449013|01791490343|EE|IRETI S.p.A.|2022|01|2022-02-21 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|7927181|424084.02000024
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2020|11|2022-02-06 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-457.625|-97.14642551675
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|55694.231|1084.3459737058
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|12|2022-02-10 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|54325.17|2207.1340223109
143863|05816611007|EE|ARETI S.p.A.|2021|11|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|253713.2|13509.91
143863|05816611007|EE|ARETI S.p.A.|2021|10|2022-02-09 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|140945.11|7398.81
143863|05816611007|EE|ARETI S.p.A.|2022|01|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1560822.36|71430.64
143863|05816611007|EE|ARETI S.p.A.|2021|12|2022-02-18 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1384981.31|65517.629999999
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2022|01|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|191167|6528.7
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|09|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-435.478|-33.853048501919
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|05|2022-02-28 00:00:00|2022-04-11 00:00:00|PRESENTE|AcuPhi|-16770.171|-915.00019495695
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|11|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|7910.483|579.28747060045
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|02|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-420.666|-31.339777777778
213094|03479071205|EE|INRETE DISTRIBUZIONE ENERGIA S.p.A.|2022|01|2022-02-11 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|476397.89|9617.75
213094|03479071205|EE|INRETE DISTRIBUZIONE ENERGIA S.p.A.|2022|01|2022-02-24 00:00:00|2022-03-28 00:00:00|PRESENTE|AcuPhi|1318251.9|51164.629999999
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2021|02|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|4584.903|339.89083265997
140965|05779711000|EE|E-DISTRIBUZIONE S.P.A.|2019|11|2022-02-03 00:00:00|2022-03-14 00:00:00|PRESENTE|AcuPhi|-602.036|-39.717696731829
