Codice RUN;Data Calcolo;Data Consolidamento;Data Emissione;Ordine Tipo Emissione;Codice Famiglia Emissione;Max numero conti cliente;Tipo catena;Conti cliente completi;Ordine criteri;Codice CD 1;Valore CD 1;Tipo associazione CD 1;Codice CD 2;Valore CD 2;Tipo associazione CD 2;Codice CD 3;Valore CD 3;Tipo associazione CD 3;Codice CD 4;Valore CD 4;Tipo associazione CD 4;Codice CD 5;Valore CD 5;Tipo associazione CD 5;Codice CD 6;Valore CD 6;Tipo associazione CD 6;Codice CD 7;Valore CD 7;Tipo associazione CD 7;Codice CD 8;Valore CD 8;Tipo associazione CD 8;Codice CD 9;Valore CD 9;Tipo associazione CD 9;Codice CD 10;Valore CD 10;Tipo associazione CD 10;FLG_BL_COM
2022_RUN_0032;19/07/2022;19/07/2022;20/07/2022;2;GR;127000;S;S;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0033;21/07/2022;21/07/2022;22/07/2022;1;GR;233000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0034;19/07/2022;25/07/2022;26/07/2022;1;P;1000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0035;20/07/2022;25/07/2022;26/07/2022;2;D;69000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0036;20/07/2022;25/07/2022;26/07/2022;3;GL;258000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0037;08/08/2022;08/08/2022;09/08/2022;1;P;45000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0038;08/08/2022;08/08/2022;09/08/2022;2;GR;400000;S;N;1;DOMICILIATO;S;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0039;04/08/2022;09/08/2022;10/08/2022;1;P;500000;D;S;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0040;09/08/2022;09/08/2022;10/08/2022;2;GR;480000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0041;09/08/2022;09/08/2022;10/08/2022;2;GR;480000;S;N;2;DOMICILIATO;S;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0042;06/08/2022;11/08/2022;12/08/2022;1;D;208000;D;N;1;DOMICILIATO;S;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0043;06/08/2022;11/08/2022;12/08/2022;1;D;208000;D;N;2;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0044;06/08/2022;11/08/2022;12/08/2022;2;GL;615000;D;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0045;06/08/2022;11/08/2022;12/08/2022;2;GL;615000;D;N;2;DOMICILIATO;S;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0046;22/08/2022;22/08/2022;23/08/2022;1;D;50000;S;S;1;LETTURA;S;O;CEDIBILE;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0047;22/08/2022;22/08/2022;23/08/2022;2;GL;330000;S;S;1;LETTURA;S;O;CEDIBILE;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0048;22/08/2022;22/08/2022;23/08/2022;3;P;233000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0049;23/08/2022;23/08/2022;24/08/2022;1;GR;500000;S;S;1;LETTURA;S;O;CEDIBILE;S;O;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0050;24/08/2022;24/08/2022;25/08/2022;1;GR;365000;S;N;1;CEDIBILE;S;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0051;25/08/2022;25/08/2022;26/08/2022;1;GR;65000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0052;24/08/2022;29/08/2022;30/08/2022;1;GL;125000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0053;24/08/2022;29/08/2022;30/08/2022;2;D;3000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0054;06/09/2022;06/09/2022;07/09/2022;1;P;420000;S;N;1;LETTURA;S;P;DOMICILIATO;N;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0055;07/09/2022;07/09/2022;08/09/2022;1;P;350000;S;N;1;LETTURA;S;P;DOMICILIATO;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0056;03/09/2022;08/09/2022;09/09/2022;1;P;320000;D;S;1;LETTURA;S;O;DOMICILIATO;S;O;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0057;12/09/2022;12/09/2022;13/09/2022;1;GR;90000;S;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0058;09/09/2022;13/09/2022;14/09/2022;1;GL;163000;D;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0059;09/09/2022;13/09/2022;14/09/2022;2;D;120000;D;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0060;15/09/2022;15/09/2022;16/09/2022;1;GL;5000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0061;15/09/2022;15/09/2022;16/09/2022;2;GR;5000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0062;15/09/2022;15/09/2022;16/09/2022;3;D;5000;S;N;1;CADENZA;MENSILE;O;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0063;12/09/2022;16/09/2022;17/09/2022;1;GL;90000;D;S;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0064;12/09/2022;16/09/2022;17/09/2022;2;D;55000;D;N;1;LETTURA;S;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0065;19/09/2022;19/09/2022;20/09/2022;1;GR;35000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0066;19/09/2022;23/09/2022;24/09/2022;1;GL;85000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0067;19/09/2022;23/09/2022;24/09/2022;2;D;80000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0068;26/09/2022;26/09/2022;27/09/2022;1;GR;1000;S;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;N
2022_RUN_0069;22/09/2022;27/09/2022;28/09/2022;1;P;1000;D;N;1;LETTURA;S;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;S
2022_RUN_0070;05/10/2022;05/10/2022;06/10/2022;1;P;180000;S;S;1;LETTURA;S;O;CADENZA;MENSILE;P;;;;;;;;;;;;;;;;;;;;;;;;;S
